identifier,Model Specific Name,Model Specific Description,CRM Path,used by
builtwork_25_has_part,Has Part,This field is used to indicate individually documented parts of the documented builtwork.,--> P46 --> E22[25_1],Swiss Art Research Infrastructure
builtwork_26_has_part_type,Has Part Type,This field is used to indicate parts of the documented instance of built work.,--> P46 --> E22[25_1] --> P2 --> E55[26_1],Swiss Art Research Infrastructure
builtwork_27_part_count,Part Count,This field is used to indicate a part count for the documented built work.,--> P57 --> rdfs:Literal,Swiss Art Research Infrastructure
