identifier,Model Specific Name,Model Specific Description,CRM Path,used by
builtwork_58_production_date_-_earliest,Construction Date - Earliest,This field is used to indicate the earliest date for the construction of the documented instance of built work.,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_59_production_date_-_latest,Construction Date - Latest,This field is used to indicate the latest date for the construction of the documented instance of built work.,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_60_production_location,Construction Location,This field is used to indicate the place of the construction of the documented instance of built work.,--> P108i --> E12[58_1] --> P7 --> E53[60_1],Swiss Art Research Infrastructure
builtwork_61_production_period,Construction Period,This field is used to indicate the historical period in which the construction of the documented instance of built work occured.,--> P108i --> E12[58_1] --> P10 --> E4[61_1],Swiss Art Research Infrastructure
builtwork_62_destruction_date_-_earliest,Destruction Date - Earliest,This field is used to indicate the earliest date for the destruction of the documented instance of built work.,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_63_destruction_date_-_latest,Destruction Date - Latest,This field is used to indicate the latest date for the destruction of the documented instance of built work.,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_64_destruction_location,Destruction Location,This field is used to indicate the location of the destruction of the documented instance of built work.,--> P13i --> E6[62_1] --> P7 --> E53[64_1],Swiss Art Research Infrastructure
builtwork_65_destruction_period,Destruction period,This field is used to indicate the historical period in which the destruction of the documented instance of built work occured.,--> P13i --> E6[62_1] --> P10 --> E4[65_1],Swiss Art Research Infrastructure
