identifier,Model Specific Name,Model Specific Description,CRM Path,used by
builtwork_90_material,Material,This field is used to indicate the material of which the documented instance of built work consists.,--> P45 --> E57[90_1],Swiss Art Research Infrastructure
builtwork_91_technique,Technique,This field is used to indicate the technique used in the construction of the documented instance of built work.,--> P108i --> E12[58_1] --> P32 --> E55[91_1],Swiss Art Research Infrastructure
builtwork_86_dimension_type,Dimension Type,This field is used to indicate the type of measurement that the dimension of the documented instance of built work is.,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P2 --> E55[86_3],Swiss Art Research Infrastructure
builtwork_87_dimension_value,Dimension Value,This field is used to indicate the value of the measurement of the documented instance of built work.,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P90 --> xsd:decimal,Swiss Art Research Infrastructure
builtwork_88_dimension_unit,Dimension Unit,This field is used to indicate the unit used to express the value of the measurement of the documented instance of built work.,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P91 --> E58[88_1],Swiss Art Research Infrastructure
builtwork_89_dimension_taker,Dimension Taker,This field is used to indicate the actor who undertook the measurement of the documented instance of built work.,--> P39i --> E16[86_1] --> P14 --> E39[89_1],Swiss Art Research Infrastructure
