identifier,Model Specific Name,Model Specific Description,CRM Path,used by
bibliographic entity_70_publication_date_-_earliest,Publication Date - Earliest,This field is used to indicate the earliest known date for the birth of the documented bibliographic item.,--> R24i --> F30[70_1] --> P4 --> E52[70_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
bibliographic entity_71_publication_date_-_latest,Publication Date - Latest,This field is used to indicate the latest known date for the birth of the documented bibliographic item.,--> R24i --> F30[70_1] --> P4 --> E52[70_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
bibliographic entity_72_publication_location,Publication Location,This field is used to indicate the place of birth of the documented bibliographic item.,--> R24i --> F30[70_1] --> P7 --> E53[72_1],Swiss Art Research Infrastructure
