identifier,Model Specific Name,Description,CRM Path,used by
group_145_national_affiliation,National Affiliation,"This field is used to record the association of the documented actor to a national body, usually indicating its legal or citizenship association.","--> P107i --> E74[145_1] --> P107i --> E74[145_2] --> E55[""National Group""]",Swiss Art Research Infrastructure
group_147_founding_member,Founding Member,This field is used to record founding members of the documented group.,--> P95i --> E66[147_1] --> P14 --> E39[147_2],Swiss Art Research Infrastructure
group_148_member,Member,This field is used to record a member of the documented group.,--> P02 --> PC144[148_1] --> P01 --> E85[148_2] --> P143 --> E21 [148_3],Swiss Art Research Infrastructure
group_149_member_role,Member Role,This field is used to record the type of role the member played in relation to the documented group.,"--> P02 --> PC144[148_1] --> P14.1 --> E55[""Position""] [149_1]",Swiss Art Research Infrastructure
group_150_member_start_date_-_earliest,Member Start Date - Earliest,This field is used to indicate the earliest possible date of becoming a member of the documented group by the referenced person.,--> P02 --> PC144[14] --> P01 --> E85[15] --> P4 --> E52[16] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
group_151_member_start_date_-_latest,Member Start Date - Latest,This field is used to indicate the latest possible date of becoming a member of the documented group by the referenced person.,--> P02 --> PC144[14] --> P01 --> E85[15] --> P4 --> E52[16] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
group_152_member_end_date_-_earliest,Member End Date - Earliest,This field is used to record the earliest possible date of ceasing to be a member of the documented group by the referenced person.,--> P146i --> E86[152_1] --> P145 --> E21 [148_3]<br><br>--> P146i --> E86[152_1] --> P4 --> E52[152_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
group_153_member_end_date_-_latest,Member End Date - Latest,This field is used to record the latest possible date of ceasing to be a member of the documented group by the referenced person.,--> P146i --> E86[152_1] --> P145 --> E21 [148_3]<br><br>--> P146i --> E86[152_1] --> P4 --> E52[152_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
