identifier,Model Specific Name,Model Specific Description,CRM Path,used by
group_195_image,Image,This field is used to indicate a digital image which is representative of the documented group.,--> P138i --> E36/D9[195_1],Swiss Art Research Infrastructure
group_196_citation,Citation,This field is used to indicate bibliographic records that stand as reference documentation for the documented group.,"--> P129i --> E33[196_1] --> rdf:value --> rdfs:Literal<br><br>--> P129i --> E33[196_1] --> P2 --> E55 ""Citation"" ",Swiss Art Research Infrastructure
group_197_citation_source,Citation Source,This field is used to record the source used for generating the citation for the documented group.,--> P129i --> E33[196_1] --> P106i --> E33[from BibliograPhy Entity Type][197_1],Swiss Art Research Infrastructure
group_204_same_as,Same As,"The field is used to record the sameness between the entity described and an external authority
",--> L54 --> E1[204_1],Swiss Art Research Infrastructure
