identifier,Model Specific Name,Model Specific Description,CRM Path,used by
group_188_description,Description,This field is used to store short descriptive texts about the documented group.,--> P129i --> E33[188_1] --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
group_189_description_language,Description Language,,--> P129i --> E33[188_1] --> P72 --> E56[189_1],Swiss Art Research Infrastructure
group_190_description_type,Description Type,,--> P129i --> E33[188_1] --> P2 --> E55[190_1],Swiss Art Research Infrastructure
group_191_description_author,Description Author,,--> P129i --> E33[188_1] --> P94i --> E65[191_1]>-P14 --> E39[191_2],Swiss Art Research Infrastructure
group_192_description_date_-_earliest,Description Date - Earliest,,--> P129i --> E33[188_1] --> P94i --> E65[191_1] --> P4 --> E52[191_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
group_193_description_date_-_latest,Description Date - Latest,,--> P129i --> E33[188_1] --> P94i --> E65[191_1] --> P4 --> E52[191_2] --> P82b —> xsd:dateTime,Swiss Art Research Infrastructure
group_194_description_-_source,Description - Source,,--> P129i --> E33[188_1] --> P94i --> E65[191_1] --> P16 --> E73[194_1],Swiss Art Research Infrastructure
