Acronym,Source Name,Official Access Point,Schema Documentation,Maintained by
Schema.org,Schema.org,http://schema.org,,Schema.org
EU-Chic,EU Cultural Heritage Identity Card,http://euchic.eu,http://euchic.eu/index.php/news/entry/chiceberg/,EU-Chic
BWR,Built Work Registry,http://builtworksregistry.org,,Institute of Museum and Library Services (IMLS)
MIDAS,MIDAS Heritage,http://www.heritage-standards.org.uk/midas-heritage/,http://heritage-standards.org.uk/wp-content/uploads/2015/10/MIDAS_Heritage_2012_update-_v5.doc,English Heritage
CARARE,,http://pro.carare.eu/doku.php?id=start,http://pro.carare.eu/doku.php?id=support:metadata-schema,
POLIS DTD,Guide to Interoperationality of Cultural Heritage Information,https://www.ics.forth.gr/CULTUREstandards/paradotea.htm,,ICS-FORTH
