Acronym,Source Name,Official Access Point,Schema Documentation,Maintained by
Schema.org,Schema.org,http://schema.org,,Schema.org
PeriodO,,http://perio.do,http://perio.do/technical-overview/#period-collections,UNC
Chronontology,,http://chronontology.dainst.org/,,DAI
