Acronym,Source Name,Official Access Point,Schema Documentation,Maintained by
Schema.org,Schema.org,http://schema.org,,Schema.org
Geonames,,https://www.geonames.org/,http://download.geonames.org/export/dump/readme.txt,GeoNames Team
Getty Thesaurus of Geographic Names,,http://www.getty.edu/research/tools/vocabularies/tgn/,http://www.getty.edu/research/tools/vocabularies/tgn/tgn_xml_dd.pdf,Getty
