identifier,Model Specific Name,Model Specific Description,CRM Path,used by
event_23_has_part,Has Part,This field is used to indicate individually documented sub events which form part of the documented event.,--> P10i --> E5[23_1],Swiss Art Research Infrastructure
event_24_is_part_of,Is Part of,This field is used to indicate temporal entities that the documented event falls within.,--> P10 --> E5[24_1],Swiss Art Research Infrastructure
