identifier,Model Specific Name,Model Specific Description,CRM Path,used by
event_98_subject_list,Subject List,"This field is used to describe the subject matter(s) with which the event was intended to deal, at a categorical level.",--> P17 --> E55[98_1],Swiss Art Research Infrastructure
event_99_subject_description,Subject Description,"This field is a free text field for the description of the subject of an event, when the data has not been sorted into categorized lists.",--> P129i --> E73[99_1],Swiss Art Research Infrastructure
