identifier,Model Specific Name,Model Specific Description,CRM Path,used by
artwork_58_production_date_-_earliest,Production Date - Earliest,This field is used to indicate the earliest date for the creation of the documented artwork.,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_59_production_date_-_latest,Production Date - Latest,This field is used to indicate the latest date for the creation of the documented artwork.,--> P108i --> E12[58_1] --> P4 --> E52[58_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_60_production_location,Production Location,This field is used to indicate the place of the creation of the documented artwork.,--> P108i --> E12[58_1] --> P7 --> E53 [60_1],Swiss Art Research Infrastructure
artwork_62_destruction_date_-_earliest,Destruction Date - Earliest,This field is used to indicate the earliest date for the destruction of the documented artwork.,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_63_destruction_date_-_latest,Destruction Date - Latest,This field is used to indicate the latest date for the destruction of the documented artwork.,--> P13i --> E6[62_1] --> P4 --> E52[62_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_64_destruction_location,Destruction Location,This field is used to indicate the place of the destruction of the documented artwork.,--> P13i --> E6[62_1] --> P7 --> E53 [64_1],Swiss Art Research Infrastructure
artwork_65_destruction_period,Destruction period,This field is used to indicate the historical period in which the creation of the documented artwork occured.,--> P13i --> E6[62_1] --> P10 --> E4 [65_1],Swiss Art Research Infrastructure
artwork_61_production_period,Production Period,This field is used to indicate the historical period in which the creation of the documented artwork occured.,--> P108i --> E12[58_1] --> P10 --> E4 [61_1],Swiss Art Research Infrastructure
