identifier,Model Specific Name,Model Specific Description,CRM Path,used by
artwork_196_citation,Citation,This field is used to indicate bibliographic records that stand as reference documentation for the documented artwork.,"--> P129i --> E33[196_1] --> rdf:value --> rdf:Literal --> P129i --> E73[196_1] --> P2 --> E55 ""Citation"" ",Swiss Art Research Infrastructure
artwork_197_citation_source,Citation Source,This field is used to record the source used for generating the citation for the documented artwork.,--> P129i --> E33[196_1] --> P106i --> E33 [from BibliograPhy Entity Type] [197_1],Swiss Art Research Infrastructure
artwork_195_image,Image,This field document image that reference the described artwork.,--> P138i --> E36/D9 [195_1],Swiss Art Research Infrastructure
artwork_204_same_as,Same As,"The field is used to record the sameness between the entity described and an external authority
",--> L54 --> E1 [204_1],Swiss Art Research Infrastructure
