identifier,Model Specific Name,Model Specific Description,CRM Path,used by
artwork_139_style_-_movement,Style - Movement,This field is used to record an artistic movement to which the documented artwork is associated because of its style.,"--> P140i --> E13[139_1] --> P141 --> E74 [139_2]<br>--> P140i --> E13[139_1] --> P2 --> E55 [""P15 is influenced by""] [139_3]",Swiss Art Research Infrastructure
artwork_135_creator,Creator,This field is used to indicate the artist or creator of the documented artwork.,--> P108i --> E12[58_1]  --> P14 --> E39 [135_1]<br><br>--> P108i --> E12[58_1]  --> P01 --> PC14[135_2] -->P02 --> E39 [135_3],Swiss Art Research Infrastructure
artwork_136_creator_role,Creator Role,This field is used to indicate the role played by the artist or creator in the creation of the documented artwork.,--> P108i --> E12[58_1] --> P01 --> PC14[135_1] --> P14.1 --> E55 [136_1],Swiss Art Research Infrastructure
artwork_137_current_owner,Current Owner,This field is used to indicate the present owner of the documented artwork.,--> P52 --> E39 [137_1],Swiss Art Research Infrastructure
artwork_138_current_holder,Current Holder,This field is used to indicate the current holder of the documented artwork.,--> P50 --> E39 [138_1],Swiss Art Research Infrastructure
