identifier,Model Specific Name,Model Specific Description,CRM Path,used by
artwork_199_location_-_institution,Location - Institution,This field is used to document the institution at which the documented artwork is presently located.,"--> P53 --> E53[199_1] --> P74i --> E74[192_1]<br><br>--> p53 --> E53[199_1] --> P74i --> E74[192_1] --> P2 --> E55[""Institution""] [192_3]<br><br>--> p53 --> E53[199_1] --> P2 --> E55 ""Institutional Location"" [192_4]",Swiss Art Research Infrastructure
artwork_177_location_-_institution_address,Location - Institution Address,This field is used to document the address of the institution at which the documented artwork is presently located.,"--> P53 --> E53[177_1] --> P1 --> E41 [177_2]<br><br>P53 --> E53[177_1] --> P1 --> E41 [177_2]--> P2 --> E55 ""Address"" [177_3]",Swiss Art Research Infrastructure
artwork_178_location_-_coordinates,Location - coordinates,This field is used to indicate the coordinates for the institution at which the documented artwork is presently located.,--> P53 --> E53[177_1] --> P168 --> geo:wktLiteral,Swiss Art Research Infrastructure
